poison_quality,poison_roots,verify_rate,verify_policy,worker_p_accept_true,worker_p_accept_false,worker_D,worker_dprime,worker_auroc,planner_p_accept_true,planner_p_accept_false,planner_D,planner_dprime,planner_auroc,aggregation_gain,commit_rate,abstain_rate,mean_latency,rep,planner_D_baseline,planner_D_delta,commit_rate_baseline,commit_rate_delta
0.0,10,0.5,same,0.8587282543491301,0.15086982603479304,0.7078584283143371,2.1073330893156443,0.93129924,0.9950099800399201,0.000998003992015968,0.9940119760479041,5.667345761629343,0.999996,0.28615354773356705,0.997,0.003,5.007,0,0.9940119760479041,0.0,0.997,0.0
0.0,5,0.5,same,0.8587282543491301,0.14587082583483305,0.7128574285142971,2.1289317335633093,0.9325004,0.9950099800399201,0.0029940119760479044,0.9920159680638723,5.324956574099938,0.999924,0.27915853954957515,0.991,0.009,5.007,0,0.9940119760479041,-0.001996007984031878,0.997,-0.006000000000000005
0.0,2,0.5,same,0.8587282543491301,0.15266946610677865,0.7060587882423515,2.099674538294061,0.92894784,0.9950099800399201,0.02694610778443114,0.968063872255489,4.504222013278292,0.997894,0.2620050840131375,0.961,0.039,5.007,0,0.9940119760479041,-0.02594810379241519,0.997,-0.03600000000000003
0.0,1,0.5,same,0.8587282543491301,0.14927014597080585,0.7094581083783242,2.1141919025546967,0.93183244,0.9950099800399201,0.10079840319361277,0.8942115768463074,3.8535355240553324,0.966416,0.18475346846798313,0.976,0.024,5.007,0,0.9940119760479041,-0.09980039920159678,0.997,-0.02100000000000002
0.0,10,0.5,different,0.8837232553489303,0.1226754649070186,0.7610477904419116,2.35552274756696,0.95166276,0.9890219560878244,0.000998003992015968,0.9880239520958084,5.38195233149801,0.99998,0.22697616165389678,0.993,0.007,5.007,0,0.9880239520958084,0.0,0.993,0.0
0.0,5,0.5,different,0.8837232553489303,0.1200759848030394,0.7636472705458909,2.3684139875957992,0.95250084,0.9890219560878244,0.006986027944111776,0.9820359281437127,4.749107700669685,0.9997,0.21838865759782178,0.99,0.01,5.007,0,0.9880239520958084,-0.0059880239520957446,0.993,-0.0030000000000000027
0.0,2,0.5,different,0.8837232553489303,0.131873625274945,0.7518496300739852,2.3113850014674213,0.94644912,0.9890219560878244,0.03293413173652695,0.9560878243512975,4.130445795360201,0.99746,0.20423819427731227,0.977,0.023,5.007,0,0.9880239520958084,-0.031936127744510934,0.993,-0.016000000000000014
0.0,1,0.5,different,0.8837232553489303,0.14927014597080585,0.7344531093781244,2.233375729046676,0.94277332,0.9890219560878244,0.10079840319361277,0.8882235528942116,3.568142093923999,0.971088,0.15377044351608726,0.973,0.027,5.007,0,0.9880239520958084,-0.09980039920159678,0.993,-0.020000000000000018
0.0,10,0.5,independent,0.878124375124975,0.11707658468306338,0.7610477904419116,2.355390077506255,0.95117404,0.9950099800399201,0.000998003992015968,0.9940119760479041,5.667345761629343,1.0,0.23296418560599252,0.998,0.002,5.007,0,0.9940119760479041,0.0,0.998,0.0
0.0,5,0.5,independent,0.878124375124975,0.1174765046990602,0.7606478704259148,2.353358187555811,0.95156624,0.9950099800399201,0.000998003992015968,0.9940119760479041,5.667345761629343,0.999992,0.2333641056219894,0.996,0.004,5.007,0,0.9940119760479041,0.0,0.998,-0.0020000000000000018
0.0,2,0.5,independent,0.878124375124975,0.11607678464307139,0.7620475904819036,2.36049141497577,0.94947968,0.9950099800399201,0.010978043912175649,0.9840319361277445,4.86764679524316,0.999486,0.2219843456458409,0.987,0.013,5.007,0,0.9940119760479041,-0.009980039920159611,0.998,-0.01100000000000001
0.0,1,0.5,independent,0.878124375124975,0.11627674465106978,0.7618476304739052,2.3594686612050992,0.95175584,0.9950099800399201,0.04890219560878244,0.9461077844311377,4.232112508201971,0.995354,0.1842601539572325,0.982,0.018,5.007,0,0.9940119760479041,-0.0479041916167664,0.998,-0.016000000000000014
0.0,10,1.0,same,0.8695260947810438,0.13727254549090182,0.732253549290142,2.21680922618528,0.93921504,0.9970059880239521,0.000998003992015968,0.9960079840319361,5.839262110354792,0.999996,0.26375443474179416,0.997,0.003,10.0,0,0.9960079840319361,0.0,0.997,0.0
0.0,5,1.0,same,0.8695260947810438,0.132873425314937,0.7366526694661069,2.2370642851862117,0.94004668,0.9970059880239521,0.0029940119760479044,0.9940119760479043,5.496872922825387,0.999968,0.2573593065817974,0.993,0.007,10.0,0,0.9960079840319361,-0.001996007984031878,0.997,-0.0040000000000000036
0.0,2,1.0,same,0.8695260947810438,0.14527094581083783,0.724255148970206,2.1810873420418004,0.93695896,0.9970059880239521,0.02694610778443114,0.9700598802395209,4.676138362003741,0.99762,0.2458047312693149,0.958,0.042,10.0,0,0.9960079840319361,-0.02594810379241519,0.997,-0.039000000000000035
0.0,1,1.0,same,0.8695260947810438,0.1362727454509098,0.733253349330134,2.221373148393927,0.93925712,0.9970059880239521,0.1027944111776447,0.8942115768463075,4.014224936407779,0.964518,0.1609582275161735,0.985,0.015,10.0,0,0.9960079840319361,-0.10179640718562866,0.997,-0.01200000000000001
0.0,10,1.0,different,0.9187162567486503,0.07868426314737052,0.8400319936012798,2.8104657904170107,0.9774994,0.9910179640718563,0.000998003992015968,0.9900199600798403,5.457183488420801,0.999992,0.1499879664785605,0.995,0.005,10.0,0,0.9900199600798403,0.0,0.995,0.0
0.0,5,1.0,different,0.9187162567486503,0.07948410317936412,0.8392321535692862,2.8050385728361897,0.97735916,0.9910179640718563,0.00499001996007984,0.9860279441117764,4.942877952165953,0.999826,0.14679579054249026,0.993,0.007,10.0,0,0.9900199600798403,-0.003992015968063867,0.995,-0.0020000000000000018
0.0,2,1.0,different,0.9187162567486503,0.10607878424315137,0.812637472505499,2.644142964763139,0.96943448,0.9910179640718563,0.028942115768463075,0.9620758483033932,4.262931485669279,0.997878,0.1494383757978942,0.979,0.021,10.0,0,0.9900199600798403,-0.027944111776447067,0.995,-0.016000000000000014
0.0,1,1.0,different,0.9187162567486503,0.1362727454509098,0.7824435112977405,2.4937077580187834,0.95916972,0.9910179640718563,0.1027944111776447,0.8882235528942115,3.632146314473788,0.974084,0.10578004159647103,0.982,0.018,10.0,0,0.9900199600798403,-0.10179640718562877,0.995,-0.013000000000000012
0.0,10,1.0,independent,0.9129174165166967,0.07888422315536893,0.8340331933613278,2.7715581067755783,0.97614996,0.9930139720558883,0.000998003992015968,0.9920159680638723,5.548806667055868,1.0,0.15798277470254452,0.997,0.003,10.0,0,0.9920159680638723,0.0,0.997,0.0
0.0,5,1.0,independent,0.9129174165166967,0.07948410317936412,0.8334333133373325,2.767491596839989,0.97653036,0.9930139720558883,0.000998003992015968,0.9920159680638723,5.548806667055868,1.0,0.15858265472653976,0.997,0.003,10.0,0,0.9920159680638723,0.0,0.997,0.0
0.0,2,1.0,independent,0.9129174165166967,0.07968406318736253,0.8332333533293341,2.7661412565212773,0.97575352,0.9930139720558883,0.000998003992015968,0.9920159680638723,5.548806667055868,0.999994,0.15878261473453814,0.996,0.004,10.0,0,0.9920159680638723,0.0,0.997,-0.0010000000000000009
0.0,1,1.0,independent,0.9129174165166967,0.07908418316336732,0.8338332333533294,2.770200009610213,0.97651656,0.9930139720558883,0.008982035928143712,0.9840319361277445,4.824338857592479,0.999858,0.15019870277441516,0.991,0.009,10.0,0,0.9920159680638723,-0.007984031936127733,0.997,-0.006000000000000005
0.3,10,0.0,same,0.762747450509898,0.2406518696260748,0.5220955808838232,1.4193754416034654,0.84369088,0.9331337325349301,0.010978043912175649,0.9221556886227545,3.7906707907953257,0.994342,0.4000601077389313,0.946,0.054,0.0,0,0.9221556886227545,0.0,0.946,0.0
0.3,5,0.0,same,0.762747450509898,0.24085182963407317,0.5218956208758249,1.4187333160920572,0.844986,0.9331337325349301,0.022954091816367265,0.9101796407185628,3.495780632111342,0.990508,0.38828401984273797,0.937,0.063,0.0,0,0.9221556886227545,-0.011976047904191711,0.946,-0.008999999999999897
0.3,2,0.0,same,0.762747450509898,0.2488502299540092,0.5138972205558888,1.393280579283012,0.83757216,0.9331337325349301,0.08283433133732535,0.8502994011976048,2.8858003851152603,0.965812,0.336402180641716,0.905,0.095,0.0,0,0.9221556886227545,-0.07185628742514971,0.946,-0.040999999999999925
0.3,1,0.0,same,0.762747450509898,0.245250949810038,0.51749650069986,1.4046789953615577,0.84122848,0.9331337325349301,0.18463073852295409,0.7485029940119761,2.39740169835307,0.895616,0.2310064933121161,0.945,0.055,0.0,0,0.9221556886227545,-0.17365269461077848,0.946,-0.0010000000000000009
0.3,10,0.0,different,0.762747450509898,0.2406518696260748,0.5220955808838232,1.4193754416034654,0.84369088,0.9331337325349301,0.010978043912175649,0.9221556886227545,3.7906707907953257,0.994342,0.4000601077389313,0.946,0.054,0.0,0,0.9221556886227545,0.0,0.946,0.0
0.3,5,0.0,different,0.762747450509898,0.24085182963407317,0.5218956208758249,1.4187333160920572,0.844986,0.9331337325349301,0.022954091816367265,0.9101796407185628,3.495780632111342,0.990508,0.38828401984273797,0.937,0.063,0.0,0,0.9221556886227545,-0.011976047904191711,0.946,-0.008999999999999897
